Code,Designation,Type,Standard_WxDxH_cm,Site_Reference,Product_URL,On_Site
PS4001,Bathroom cupboard 2 wash basins -without Sink,Bathroom,150x51x91,E-PS4001,https://studioszel.ro/masti-pentru-lavoar/35196-574111-dulap-baie-pentru-2-lavoare-ornamentat-lavoarele-nu-sunt-incluse-in-pret.html,yes
PS4001-TOP OAK,Bathroom cupboard 2 wash basins -without Sink,Bathroom,150x51x91,E-PS4001-TOP OAK,https://studioszel.ro/masti-pentru-lavoar/35203-574144-dulap-baie-pentru-2-lavoare-ornamentat-blat-stejar-lavoarele-nu-sunt-incluse-in-pret.html,yes
PS4003,Bathroom cupboard 1 wash basin -without Sink,Bathroom,90x51x91,PS4003,https://studioszel.ro/masti-pentru-lavoar/379-537166-dulap-baie-pentru-lavoar-ornamentat-lavoarul-nu-este-inclus-in-pret.html,yes
PS4003-TOP OAK,Bathroom cupboard 1 wash basin -without Sink,Bathroom,90x51x91,PS4003-TOP OAK,https://studioszel.ro/masti-pentru-lavoar/380-566764-dulap-baie-pentru-lavoar-ornamentat-blat-stejar-lavoarul-nu-este-inclus-in-pret.html,yes
PS09,Wall table 2 shelves top wood,Table,145x45x89,E-PS09,https://studioszel.ro/console/34804-565837-consola-cu-2-rafturi-3-sertare.html,yes
PS09-TOP OAK,Wall table 2 shelves top oak,Table,145x45x89,E-PS09-TOP OAK,https://studioszel.ro/console/34806-565867-consola-cu-2-rafturi-3-sertare-blat-stejar.html,yes
PS10BAS/SUP,Sideboard 3 doors 3 drawers BAS+SUP,Sideboard,206x53x219,E-PS10BAS+SUP,https://studioszel.ro/bufete-si-vitrine-pentru-servire/35342-576658-bufet-cu-3-usi-glisante-3-sertare-bas-3-usi-sticla-glisante-sup.html,yes
PS10BAS,Sideboard 3 doors 3 drawers,Sideboard,196x53x86,E-PS10BAS,https://studioszel.ro/bufete-si-vitrine-pentru-servire/35339-576634-bufet-cu-3-usi-glisante-3-sertare-bas.html,yes
PS10BAS-TOP OAK,Sideboard 3 doors 3 drawers top oak,Sideboard,196x53x86,E-PS10BAS-TOP OAK,https://studioszel.ro/bufete-si-vitrine-pentru-servire/35341-576646-bufet-cu-3-usi-glisante-3-sertare-blat-stejar-bas.html,yes
PS13,Filling cabinet,Other,55x40x163,E-PS13,https://studioszel.ro/birou/35064-571263-comoda-ingusta-cu-4-usi-rabatabile.html,yes
PS21,Desk Bonheur Du Jour,Desk,109x60x110,E-PS21,https://studioszel.ro/birou/35056-569387-birou-bonheur-du-jour.html,yes
PS23BAS/PS297SUP,Display cabinet 3 doors 3 drawers BAS + 3 doors SUP,Display cabinet,183x51x240,E-PS23BAS+PS297SUP,https://studioszel.ro/biblioteci-si-vitrine/34989-568050-bufet-cu-3-usi-3-sertare-bas-3-usi-sticla-sup-colectia-directoire.html,yes
PS23BAS,Sideboard 3 doors 3 drawers,Sideboard,179x51x90,E-PS23BAS,https://studioszel.ro/biblioteci-si-vitrine/34988-568038-bufet-cu-3-usi-3-sertare-bas-colectia-directoire.html,yes
PS24BAS/SUP,Kitchen cabinet,Kitchen,164x50x226,E-PS24BAS+SUP,https://studioszel.ro/bufete-si-vitrine-pentru-servire/35283-575652-bufet-cu-2-usi-3-sertare-3-compartimente-cu-usa-sticla-bas-3-usi-sticla-sup.html,yes
PS24BAS,Kitchen cabinet BAS,Kitchen,158x50x100,PS24BAS,https://studioszel.ro/bufete-si-vitrine-pentru-servire/290-578503-bufet-cu-2-usi-3-sertare-3-compartimente-cu-usa-sticla-bas.html,yes
PS30,1 drawer wall table,Drawers unit,96x45x76,E-PS30,https://studioszel.ro/console/35083-571566-consola-cu-1-sertar.html,yes
PS46BAS,Sideboard 1 door 3 drawers,Sideboard,116x51x78,E-PS46BAS,https://studioszel.ro/biblioteci-si-vitrine/34992-568094-bufet-cu-1-usa-3-sertare-bas-colectia-directoire.html,yes
PS46BAS/PS75SUP,Display cabinet 1 door 3 drawers BAS+ 2 doors SUP,Display cabinet,120x51x228,E-PS46BAS+PS75SUP,https://studioszel.ro/biblioteci-si-vitrine/34993-568106-vitrina-cu-1-usa-3-sertare-bas-2-usi-sticla-sup-colectia-directoire.html,yes
PS68BAS/SUP,1 door display cabinet,Display cabinet,73x51x228,PS68BAS+SUP,https://studioszel.ro/biblioteci-si-vitrine/10330-583522-vitrina-ingusta-cu-1-usa-bas-1-usa-sticla-sup-colectia-directoire.html,yes
PS68BAS,1 door display cabinet  BAS,Display cabinet,69x51x78,PS68BAS,https://studioszel.ro/biblioteci-si-vitrine/489-583530-bufet-cu-1-usa-bas-colectia-directoire.html,yes
PS73BAS,Display cabinet 3 doors BAS,Display cabinet,179x51x78,PS73BAS,https://studioszel.ro/biblioteci-si-vitrine/487-561881-bufet-cu-3-usi-bas-colectia-directoire.html,yes
PS73BAS/PS297SUP,Display cabinet 3 doors BAS + 3 doors SUP,Display cabinet,183x51x228,E-PS73BAS+PS297SUP,https://studioszel.ro/biblioteci-si-vitrine/35475-584290-vitrina-cu-3-usi-bas-3-usi-sticla-sup-colectia-directoire.html,yes
PS75BAS/SUP,Display cabinet 2 doors,Display cabinet,120x51x228,PS75BAS+SUP,https://studioszel.ro/biblioteci-si-vitrine/10342-583108-vitrina-cu-2-usi-bas-2-usi-sticla-sup-colectia-directoire.html,yes
PS75BAS,Display cabinet 2 doors BAS,Display cabinet,116x51x78,E-PS75BAS,https://studioszel.ro/biblioteci-si-vitrine/34994-568133-bufet-cu-2-usi-bas-colectia-directoire.html,yes
PS81,Desk,Desk,130x65x83,E-PS81,https://studioszel.ro/birou/35055-576994-birou-cu-5-sertare.html,yes
PS89,8 drawers chest,Chest of drawers,46x36x122,E-PS89,https://studioszel.ro/comode/35170-573600-comoda-ingusta-cu-8-sertare.html,yes
PS89-TOP OAK,"8 drawers chest, oak top",Chest of drawers,46x36x122,PS89-TOP OAK,https://studioszel.ro/comode/3802-569423-comoda-ingusta-cu-8-sertare-blat-stejar.html,yes
PS96,Desk,Desk,152x70x78,PS96,https://studioszel.ro/birou/463-562768-birou-cu-4-sertare-si-1-usa.html,yes
PS101,Sideboard 2 doors 1 drawer,Sideboard,160x46x56,E-PS101,https://studioszel.ro/mese-tv-si-mobilier-media/35008-568561-comoda-tv-cu-2-usi-1-sertar.html,yes
PS102,Chest of 19 drawers,Chest of drawers,180x48x95,E-PS102,https://studioszel.ro/comode/35163-573492-comoda-cu-19-sertare.html,yes
PS102-TOP OAK,"Chest of 19 drawers, oak top",Chest of drawers,180x48x95,PS102-TOP OAK,https://studioszel.ro/comode/7169-570081-comoda-cu-19-sertare-blat-stejar.html,yes
PS103,Chest of 13 drawers,Chest of drawers,120x48x95,E-PS103,https://studioszel.ro/comode/35153-573316-comoda-cu-13-sertare.html,yes
PS103-TOP OAK,"Chest of 13 drawers, oak top",Chest of drawers,120x48x95,PS103-TOP OAK,https://studioszel.ro/comode/3100-545710-comoda-cu-13-sertare-blat-stejar.html,yes
PS104,Chest of 9 drawers,Chest of drawers,158x48x79,E-PS104,https://studioszel.ro/comode/35107-572145-comoda-cu-9-sertare.html,yes
PS104-TOP OAK,Chest of 9 drawers oak top,Chest of drawers,158x48x79,PS104-TOP OAK,https://studioszel.ro/comode/2735-564071-comoda-cu-9-sertare-blat-stejar.html,yes
PS105,2 doors 2 drawers wardrobe,Drawers unit,128x62x206,E-PS105,https://studioszel.ro/sifoniere/35108-572170-dulap-cu-2-usi-si-2-sertare.html,yes
PS106,Sideboard 3 drawers 3 open spaces,Sideboard,180x46x56,E-PS106,https://studioszel.ro/mese-tv-si-mobilier-media/35011-568606-comoda-tv-cu-3-sertare-si-3-spatii-deschise.html,yes
PS108,Sideboard 2 drawers 1 door,Sideboard,50x35x96,E-PS108,https://studioszel.ro/comode/35209-574232-comoda-cu-2-sertare-si-1-usa.html,yes
PS109,Single book case 2 doors,Other,110x39x210,E-PS109,https://studioszel.ro/biblioteci-si-vitrine/35044-578937-biblioteca-cu-2-usi.html,yes
PS111,Sideboard 2 drawers 1 door,Sideboard,120x40x57,E-PS111,https://studioszel.ro/mese-tv-si-mobilier-media/35003-568366-comoda-mica-tv-cu-1-usa-si-2-sertare.html,yes
PS111-TOP OAK,Sideboard 2 drawers 1 door oak top,Sideboard,120x40x57,PS111-TOP OAK,https://studioszel.ro/mese-tv-si-mobilier-media/1741-566943-comoda-mica-tv-cu-1-usa-si-2-sertare.html,yes
PS115,Desk,Desk,140x70x78,E-PS115,https://studioszel.ro/birou/35066-571290-birou-cu-2-usi-si-3-sertare-colectia-directoire.html,yes
PS115-TOP OAK,Desk oak top,Desk,140x70x78,PS115-TOP OAK,https://studioszel.ro/birou/462-566885-birou-cu-2-usi-si-3-sertare-blat-stejar-colectia-directoire.html,yes
PS117,Bookcase 2 doors,Other,79x39x210,E-PS117,https://studioszel.ro/biblioteci-si-vitrine/35046-580399-biblioteca-cu-2-usi.html,yes
PS118,Bookcase,Other,110x39x210,E-PS118,https://studioszel.ro/biblioteci-si-vitrine/35042-581030-biblioteca-5-etajere.html,yes
PS120,Correspondence table,Table,65x45x110,E-PS120,https://studioszel.ro/birou/35053-577363-mobilier-mic-cu-blat-masa-incorporat.html,yes
PS122,Chest of 2 drawers over 3 drawers,Chest of drawers,51x30x74,E-PS122,https://studioszel.ro/noptiere/35179-573754-noptiera-cu-5-sertare.html,yes
PS122-TOP OAK,Chest of 2 drawers over 3 drawers oak top,Chest of drawers,51x30x74,PS122-TOP OAK,https://studioszel.ro/dormitor/8940-554258-noptiera-cu-5-sertare-blat-stejar.html,yes
PS123,Chest of 2 drawers over 2 drawers,Chest of drawers,51x30x59,E-PS123,https://studioszel.ro/noptiere/35194-574037-noptiera-cu-4-sertare.html,yes
PS123-TOP OAK,Chest of 2 drawers over 2 drawers oak top,Chest of drawers,51x30x59,PS123-TOP OAK,https://studioszel.ro/noptiere/8941-554267-noptiera-cu-4-sertare-blat-stejar.html,yes
PS124,Bedside,Bed,47x32x74,E-PS124,https://studioszel.ro/noptiere/35241-574652-noptiera-cu-1-usa-si-1-sertar.html,yes
PS124-TOP OAK,Bedside,Bed,47x32x74,E-PS124-TOP OAK,https://studioszel.ro/noptiere/35242-574667-noptiera-cu-1-usa-si-1-sertar-blat-stejar.html,yes
PS126,Book case 2 drawers,Drawers unit,110x39x210,E-PS126,https://studioszel.ro/biblioteci-si-vitrine/35043-569122-biblioteca-cu-2-sertare-etajera-deschisa.html,yes
PS127,Wardrobe,Wardrobe,121x59x197,E-PS127,https://studioszel.ro/sifoniere/35154-573339-dulap-cu-2-usi-si-3-sertare.html,yes
PS128,Low table,Table,90x90x45,E-PS128,https://studioszel.ro/masute-de-cafea/34977-567823-masa-cafea.html,yes
PS128-TOP OAK,Low table oak top,Table,90x90x45,PS128-TOP OAK,https://studioszel.ro/masute-de-cafea/404-566793-masa-cafea-blat-stejar.html,yes
PS131,Side table 120x65x45,Table,120x65x45,E-PS131,https://studioszel.ro/masute-de-cafea/34978-567836-masa-cafea-cu-2-sertare-120x65x45cm.html,yes
PS131-TOP OAK,Side table 120x65x45 oak top,Table,120x65x45,PS131-TOP OAK,https://studioszel.ro/masute-de-cafea/429-569599-masa-cafea-cu-2-sertare-120x65x45cm-blat-stejar.html,yes
PS136,Book shelves,Shelving,58x32x98,E-PS136,https://studioszel.ro/biblioteci-si-vitrine/35060-571125-etajera-cu-3-rafturi.html,yes
PS138B,Big frame mirror,Mirror,151x8x95,PS138B,https://studioszel.ro/oglinzi/441-572409-oglinda-lata-baie.html,yes
PS138S,Small frame mirror,Mirror,94x8x108,PS138S,https://studioszel.ro/oglinzi/437-537114-oglinda-baie.html,yes
PS142,Computer desk,Desk,130x60x78,E-PS142,https://studioszel.ro/birou/35059-571116-birou-computer.html,yes
PS142-TOP OAK,Computer desk,Desk,130x60x78,PS142-TOP OAK,https://studioszel.ro/birou/475-566898-birou-computer-blat-stejar.html,yes
PS149,Show-case,Other,110x39x210,E-PS149,https://studioszel.ro/biblioteci-si-vitrine/35078-571464-vitrina-cu-2-usi-2-usi-sticla.html,yes
PS150,Chest of  2 drawers over 2 drawers,Chest of drawers,100x50x90,E-PS150,https://studioszel.ro/comode/35116-572272-comoda-cu-2-sertare-inguste-2-sertare-late.html,yes
PS151,Chest of 2 over 3 drawers,Chest of drawers,100x50x100,E-PS151,https://studioszel.ro/comode/35144-572897-comoda-cu-2-sertare-inguste-3-sertare-largi.html,yes
PS151-TOP OAK,Chest of 2 over 3 drawers Top Oak,Chest of drawers,100x50x100,PS151-TOP OAK,https://studioszel.ro/comode/24-569946-comoda-cu-2-sertare-inguste-3-sertare-largi-blat-stejar.html,yes
PS152,Small bench,Other,117x48x92,E-PS152,https://studioszel.ro/banci-pentru-hol/34948-580129-banca-mica.html,yes
PS152-TOP OAK,"Small bench, oak top",Other,117x48x92,PS152-TOP OAK,https://studioszel.ro/banci-pentru-hol/3741-559498-banca-mica-blat-stejar.html,yes
PS153,Big bench,Other,163x48x92,E-PS153,https://studioszel.ro/banci-pentru-hol/34949-567334-banca-mare.html,yes
PS153-TOP OAK,"Big bench, oak top",Other,163x48x92,E-PS153-TOP OAK,https://studioszel.ro/banci-pentru-hol/34953-567395-banca-mare-blat-stejar.html,yes
PS154,Sideboard 75x41x220,Sideboard,75x40x220,PS154,https://studioszel.ro/sifoniere/132-581064-dulap-cu-1-usa.html,yes
PS156,"Round table with extensions equiped with metal rail with synchronization, 116/198x116",Table,116x116x78,E-PS156,https://studioszel.ro/mese-de-dining/35329-576472-masa-rotunda-cu-extensii-116-198x116cm.html,yes
PS156-TOP OAK,"Round table with extensions equiped with metal rail with synchronization, 116/198x116 Top Oak",Table,116x116x78,PS156-TOP OAK,https://studioszel.ro/mese-de-dining/321-570150-masa-rotunda-cu-extensii-116-198x116cm-blat-stejar.html,yes
PS158,Chest of 14 drawers,Chest of drawers,87x36x122,E-PS158,https://studioszel.ro/comode/35162-573469-comoda-cu-14-sertare.html,yes
PS158-TOP OAK,"Chest of 14 drawers, oak top",Chest of drawers,87x36x122,PS158-TOP OAK,https://studioszel.ro/comode/8944-564083-comoda-cu-14-sertare-blat-stejar.html,yes
PS160,Bookcase 2 Doors,Other,120x39x197,E-PS160,https://studioszel.ro/biblioteci-si-vitrine/35005-580837-biblioteca-cu-2-usi-etajera-deschisa-colectia-directoire.html,yes
PS161,Bookcase 5 shelves,Shelving,71x39x197,E-PS161,https://studioszel.ro/home/35021-568822-biblioteca-colectia-directoire.html,yes
PS162,Sideboard,Sideboard,75x40x220,E-PS162,https://studioszel.ro/biblioteci-si-vitrine/35050-569256-vitrina-cu-1-usa-sticla-pereti-sticla.html,yes
PS163,Sideboard 1 door glass top,Sideboard,75x40x220,E-PS163,https://studioszel.ro/biblioteci-si-vitrine/35047-569220-vitrina-cu-1-usa.html,yes
PS165BAS/SUP,Show-Case,Other,179x47x225,PS165BAS+SUP,https://studioszel.ro/bufete-si-vitrine-pentru-servire/10345-564382-bufet-cu-4-usi-4-sertare-bas-2-usi-mari-sticla-sup.html,yes
PS165BAS,"Show-Case ""BAS",Other,173x47x93,E-PS165BAS,https://studioszel.ro/bufete-si-vitrine-pentru-servire/35297-575973-bufet-cu-4-usi-si-4-sertare-bas.html,yes
PS171,Sideboard 2 Sliding doors,Sideboard,135x48x91,E-PS171,https://studioszel.ro/bufete-si-vitrine-pentru-servire/35328-576476-bufet-cu-2-usi-glisante-2-sertare-bas.html,yes
PS171-TOP OAK,Sideboard 2 Sliding doors oak top,Sideboard,135x48x91,PS171-TOP OAK,https://studioszel.ro/bufete-si-vitrine-pentru-servire/7170-564334-bufet-cu-2-usi-glisante-2-sertare-blat-stejar-bas.html,yes
PS171/PS172,Sideboard 2 sliding doors+top,Sideboard,142x48x225,E-PS171+PS172,https://studioszel.ro/bufete-si-vitrine-pentru-servire/35331-576526-bufet-cu-2-usi-glisante-2-sertare-bas-4-sertare-2-usi-sticla-glisante-sup.html,yes
PS176,Narrow Bookcase,Other,71x39x197,E-PS176,https://studioszel.ro/biblioteci-si-vitrine/35010-568614-biblioteca-ingusta-cu-1-usa-etajera-deschisa-colectia-directoire.html,yes
