code,slug,variant,finish-description,body-colour,accent-colours,top-material,dimensions-cm,accessories,source-file,path
MPS004BAS+SUP,MPS004BAS-SUP,main,,,,,,,MPS004BAS+SUP.jpg,images/MPS004BAS-SUP/main.jpg
MPS005BAS,MPS005BAS,main,,,,,,,MPS005BAS.jpg,images/MPS005BAS/main.jpg
MPS005SUP,MPS005SUP,main,,,,,,,MPS005SUP.jpg,images/MPS005SUP/main.jpg
MPS006BAS,MPS006BAS,main,,,,,,,MPS006BAS.jpg,images/MPS006BAS/main.jpg
MPS014BAS+SUP,MPS014BAS-SUP,main,,,,,,,MPS014BAS+SUP.jpg,images/MPS014BAS-SUP/main.jpg
MPS016BAS+SUP,MPS016BAS-SUP,main,,,,,,,MPS016BAS+SUP.jpg,images/MPS016BAS-SUP/main.jpg
MPS019BAS+SUP,MPS019BAS-SUP,main,,,,,,,MPS019BAS+SUP.jpg,images/MPS019BAS-SUP/main.jpg
MPS020BAS+SUP,MPS020BAS-SUP,main,,,,,,,MPS020BAS+SUP.jpg,images/MPS020BAS-SUP/main.jpg
OPS1001-160,OPS1001-160,main,,,,,,,OPS1001-160.jpg,images/OPS1001-160/main.jpg
OPS1003-120-TOP Z,OPS1003-120-TOP-Z,main,,,,,,,OPS1003-120-TOP Z.jpg,images/OPS1003-120-TOP-Z/main.jpg
OPS138B,OPS138B,main,,,,,,,OPS138B.jpg,images/OPS138B/main.jpg
OPS626,OPS626,main,,,,,,,OPS626.jpg,images/OPS626/main.jpg
OPS630,OPS630,main,,,,,,,OPS630.jpg,images/OPS630/main.jpg
OPS737,OPS737,main,,,,,,,OPS737.jpg,images/OPS737/main.jpg
OPS738,OPS738,main,,,,,,,OPS738.jpg,images/OPS738/main.jpg
OPS739,OPS739,main,,,,,,,OPS739.jpg,images/OPS739/main.jpg
OPS740,OPS740,main,,,,,,,OPS740.jpg,images/OPS740/main.jpg
OPS741,OPS741,main,,,,,,,OPS741.jpg,images/OPS741/main.jpg
OPS742,OPS742,main,,,,,,,OPS742.jpg,images/OPS742/main.jpg
OPS786-180,OPS786-180,main,,,,,,,OPS786-180.jpg,images/OPS786-180/main.jpg
